Software Version,2.01.14,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\PWS Aug 18 and 19.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\Microcystin ELISA.prt,,,,,,,,,,,,,
Plate Number,Plate 2,,,,,,,,,,,,,
Date,8/19/14,,,,,,,,,,,,,
Time,1:26:43 PM,,,,,,,,,,,,,
Reader Type:,ELx800,,,,,,,,,,,,,
Reader Serial Number:,Unknown,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Wavelengths: 450,,,,,,,,,,,,,
,Read Speed: Normal,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.474,0.473,0.547,0.53,1.673,1.375,0.95,0.941,1.55,1.46,1.646,1.57,450
,B,0.711,0.888,1.775,1.88,0.344,0.339,0.661,0.763,1.717,1.754,1.869,1.613,450
,C,0.954,0.947,1.104,1.129,0.734,0.693,0.254,0.246,1.772,1.732,1.797,1.729,450
,D,1.199,1.235,1.813,1.881,1.817,1.897,1.768,1.968,1.751,1.643,1.76,1.679,450
,E,1.657,1.738,1.594,1.607,0.391,0.359,1.812,1.684,1.608,1.659,1.58,1.561,450
,F,1.929,1.837,1.732,1.911,1.879,1.974,1.585,1.728,1.613,1.609,1.683,1.727,450
,G,0.971,1.012,1.437,1.551,0.21,0.175,1.71,1.735,1.475,1.477,1.633,1.633,450
,H,1.818,1.457,1.645,1.793,1.326,1.287,1.683,1.588,1.498,1.575, , ,450
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,ABS,conc,%B/Bo,Dilution Factor,Microcystin Concentration,,,,,,,,
,Standard 5,0.4735,5,0.251460435,1,5,,,,,,,,
,Standard 4,0.7995,2,0.424588423,1,2,,,,,,,,
,Standard 3,0.9505,1,0.504779607,1,1,,,,,,,,
,Standard 2,1.217,0.4,0.646309081,1,0.4,,,,,,,,
,Standard 1,1.6975,0.15,0.901486989,1,0.15,,,,,,,,
,Standard 0,1.883,0,1,1,0,,,,,,,,
,Positive Control,0.9915,1.003851026,0.526553372,1,1.003851026,,,,,,,,
,PIB F,1.6375,0.150672759,0.869622942,1,0.150672759,,,,,,,,
,PIB R,0.5385,3.795189069,0.285979819,1,3.795189069,,,,,,,,
,LEU F,1.8275,0.086255996,0.970525757,1,0.086255996,,,,,,,,
,LEU R,1.1165,0.695500204,0.592936803,1,0.695500204,,,,,,,,
,KI F,1.847,0.081456784,0.980881572,1,0.081456784,,,,,,,,
,KI R,1.6005,0.167961156,0.849973447,1,0.167961156,,,,,,,,
,MH F,1.8215,0.087788807,0.967339352,1,0.087788807,,,,,,,,
,MH R,1.494,0.229611589,0.793414764,1,0.229611589,,,,,,,,
,NOR F,1.719,0.118610789,0.912904939,1,0.118610789,,,,,,,,
,NOR Low R,1.524,0.210254124,0.809346787,1,0.210254124,,,,,,,,
,NOR Up R,0.3415,6.767117194,0.181359533,1,6.767117194,,,,,,,,
,NOR Up R x10,0.7135,2.270453482,0.378916622,10,22.70453482,,,,,,,,
,Avon 1,1.857,0.079100185,0.986192246,1,0.079100185,,,,,,,,
,CC039,0.375,6.13326882,0.199150292,1,6.13326882,,,,,,,,
,CC040,1.9265,0.064501032,1.023101434,1,0.064501032,,,,,,,,
,CC041,0.1925,10.48033413,0.102230483,1,10.48033413,,,,,,,,
,CC042,1.3065,0.398154669,0.693839618,1,0.398154669,,,,,,,,
,CC043,0.9455,1.148995071,0.50212427,1,1.148995071,,,,,,,,
,CC044,0.712,2.280473723,0.378120021,1,2.280473723,,,,,,,,
,CC045,0.25,8.852460671,0.132766861,1,8.852460671,,,,,,,,
,Avon 2,1.868,0.076586595,0.992033988,1,0.076586595,,,,,,,,
,Avon 3,1.748,0.108930598,0.928305895,1,0.108930598,,,,,,,,
,Avon 4,1.6565,0.142498468,0.879713224,1,0.142498468,,,,,,,,
,Avon 5,1.7225,0.117398292,0.914763675,1,0.117398292,,,,,,,,
,Avon 6,1.6355,0.151560034,0.868560807,1,0.151560034,,,,,,,,
,Avon 7,1.505,0.222315154,0.799256506,1,0.222315154,,,,,,,,
,Avon 8,1.7355,0.113002249,0.921667552,1,0.113002249,,,,,,,,
,Avon 9,1.752,0.107658911,0.930430165,1,0.107658911,,,,,,,,
,Avon 10,1.697,0.126524219,0.901221455,1,0.126524219,,,,,,,,
,Avon 11,1.6335,0.152452533,0.867498672,1,0.152452533,,,,,,,,
,Avon 12,1.611,0.162862691,0.855549655,1,0.162862691,,,,,,,,
,Avon 13,1.476,0.242071339,0.78385555,1,0.242071339,,,,,,,,
,Avon 14,1.5365,0.202678332,0.81598513,1,0.202678332,,,,,,,,
,Avon 15,1.608,0.164303394,0.853956452,1,0.164303394,,,,,,,,
,Avon 19,1.741,0.111192302,0.924588423,1,0.111192302,,,,,,,,
,Avon 20,1.763,0.104237803,0.936271907,1,0.104237803,,,,,,,,
,Avon 21,1.7195,0.118436811,0.913170473,1,0.118436811,,,,,,,,
,Avon 22,1.5705,0.183424835,0.834041423,1,0.183424835,,,,,,,,
,Avon 23,1.705,0.123587304,0.905469995,1,0.123587304,,,,,,,,
,Avon 24,1.633,0.152676478,0.867233139,1,0.152676478,,,,,,,,
