Software Version,2.01.14,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,"C:\Users\Public\Documents\Experiments\BIM Exp., CC064, CC069-74, SL107-SL124.xpt",,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\Microcystin ELISA.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,9/25/14,,,,,,,,,,,,,
Time,2:08:29 PM,,,,,,,,,,,,,
Reader Type:,ELx800,,,,,,,,,,,,,
Reader Serial Number:,Unknown,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Wavelengths: 450,,,,,,,,,,,,,
,Read Speed: Normal,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.588,0.614,1.113,0.971,0.776,0.757,0.825,0.792,1.172,1.328,1.28,1.213,450
,B,0.758,0.798,0.965,1.042,0.732,0.765,0.542,0.67,0.955,1.085,1.522,1.237,450
,C,0.89,1.006,1.064,1.084,0.777,0.81,0.636,0.83,1.866,2.065,1.65,1.237,450
,D,1.298,1.391,0.987,0.881,0.952,0.831,0.958,0.955,0.96,0.951,1.137,1.097,450
,E,1.629,1.779,0.882,0.886,0.699,0.686,0.779,0.698,1.095,1.148,1.465,1.375,450
,F,1.683,1.944,1.116,0.948,0.901,0.727,0.655,0.904,0.963,0.889,1.64,1.689,450
,G,1.071,1.101,0.694,0.658,0.854,0.763,0.639,0.673,1.863,1.713,1.98,2.072,450
,H,0.874,0.828,0.778,0.823,0.646,0.638,0.479,0.531,1.314,1.321,2.095,1.995,450
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,ABS,conc,%B/Bo,Dilution Factor,Microcystin Concentration,,,,,,,,
,Standard 5,0.601,5,0.331403364,1,5,,,,,,,,
,Standard 4,0.778,2,0.429004687,1,2,,,,,,,,
,Standard 3,0.948,1,0.522746071,1,1,,,,,,,,
,Standard 2,1.3445,0.4,0.741384064,1,0.4,,,,,,,,
,Standard 1,1.704,0.15,0.93961952,1,0.15,,,,,,,,
,Standard 0,1.8135,0,1,1,0,,,,,,,,
,Positive Control,1.086,0.873783764,0.598842018,1,0.873783764,,,,,,,,
,BIM Exp. Int.,0.851,1.777248938,0.46925834,1,1.777248938,,,,,,,,
,BIM 1,1.042,0.998013737,0.574579542,1,0.998013737,,,,,,,,
,BIM 2,1.0035,1.12112103,0.553349876,1,1.12112103,,,,,,,,
,BIM 3,1.074,0.906043838,0.592224979,1,0.906043838,,,,,,,,
,BIM 4,0.934,1.383068478,0.515026192,1,1.383068478,,,,,,,,
,BIM 5,0.884,1.608602917,0.487455197,1,1.608602917,,,,,,,,
,BIM 6,1.032,1.028626131,0.569065343,1,1.028626131,,,,,,,,
,BIM 7,0.676,3.015548748,0.372759857,1,3.015548748,,,,,,,,
,BIM 8,0.8005,2.070186555,0.441411635,1,2.070186555,,,,,,,,
,BIM 9,0.7665,2.294145711,0.422663358,1,2.294145711,,,,,,,,
,BIM 10,0.7485,2.422360963,0.4127378,1,2.422360963,,,,,,,,
,BIM 11,0.7935,2.114434359,0.437551696,1,2.114434359,,,,,,,,
,BIM 12,0.8915,1.572563085,0.491590846,1,1.572563085,,,,,,,,
,BIM 13,0.6925,2.868908174,0.381858285,1,2.868908174,,,,,,,,
,BIM 14,0.814,1.987449435,0.448855804,1,1.987449435,,,,,,,,
,BIM 15,0.8085,2.020750322,0.445822994,1,2.020750322,,,,,,,,
,BIM 16,0.642,3.341780098,0.35401158,1,3.341780098,,,,,,,,
,BIM 17,0.8085,2.020750322,0.445822994,1,2.020750322,,,,,,,,
,BIM 18,0.606,3.725748966,0.334160463,1,3.725748966,,,,,,,,
,BIM 19,0.733,2.538495871,0.404190791,1,2.538495871,,,,,,,,
,BIM 20,0.9565,1.292175069,0.52743314,1,1.292175069,,,,,,,,
,BIM 21,0.7385,2.496662814,0.407223601,1,2.496662814,,,,,,,,
,BIM 22,0.7795,2.205787415,0.429831817,1,2.205787415,,,,,,,,
,BIM 23,0.656,3.203379714,0.361731459,1,3.203379714,,,,,,,,
,BIM 24,0.505,5.055173087,0.278467053,1,5.055173087,,,,,,,,
,CC064,1.25,0.532376673,0.689274883,5,2.661883364,,,,,,,,
,CC069,1.02,1.066602981,0.562448304,1,1.066602981,,,,,,,,
,CC070,1.9655,0.061292743,1.083815826,1,0.061292743,,,,,,,,
,CC071,0.9555,1.29608493,0.52688172,1,1.29608493,,,,,,,,
,CC072,1.1215,0.784918022,0.618417425,1,0.784918022,,,,,,,,
,CC073,0.926,1.416904274,0.510614833,1,1.416904274,,,,,,,,
,CC074,1.788,0.104786999,0.985938792,1,0.104786999,,,,,,,,
,SL107,1.3175,0.434162231,0.726495726,1,0.434162231,,,,,,,,
,SL111,1.2465,0.538036055,0.687344913,1,0.538036055,,,,,,,,
,SL115,1.3795,0.359999279,0.760683761,1,0.359999279,,,,,,,,
,SL121,1.4435,0.296706469,0.795974635,1,0.296706469,,,,,,,,
,SL122,1.117,0.795662273,0.615936035,1,0.795662273,,,,,,,,
,SL123,1.42,0.318538143,0.783016267,1,0.318538143,,,,,,,,
,SL124,1.6645,0.152178104,0.917838434,1,0.152178104,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
