Software Version,2.01.14,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\Microcystin ELISA.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,7/22/14,,,,,,,,,,,,,
Time,2:27:39 PM,,,,,,,,,,,,,
Reader Type:,ELx800,,,,,,,,,,,,,
Reader Serial Number:,Unknown,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Wavelengths: 450,,,,,,,,,,,,,
,Read Speed: Normal,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.449,0.256,0.962,1.078,0.911,1.185,0.981,0.963,0.975,1.084,1.104,1.038,450
,B,0.492,0.36,1.074,0.985,0.84,0.765,0.804,0.96,0.923,0.857,1.052,1.096,450
,C,0.58,0.416,1.064,0.962,0.976,0.875,0.801,0.986,1.145,1.184,1.183,1.189,450
,D,0.793,0.613,,,0.993,1.093,0.757,0.561,0.767,0.694,1.051,1.099,450
,E,0.759,0.86,1.114,1.024,1.029,1.163,1.027,0.964,1.334,1.212,1.166,1.105,450
,F,1.046,1.001,1.011,0.989,0.956,0.916,0.675,0.668,1.059,1.069,1.018,1.13,450
,G,0.534,0.541,1.088,1.052,1.063,1.014,0.462,0.614,1.125,1.027,1.001,0.95,450
,H,1.069,1.015,0.985,0.989,1.233,1.018,0.952,0.958,1.014,1.051,0.959,0.992,450
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,ABS,conc,%B/Bo,,,,,,,,,,
,Standard 5,0.3525,5,0.344406448,,,,,,,,,,
,Standard 4,0.426,2,0.416218857,,,,,,,,,,
,Standard 3,0.498,1,0.486565706,,,,,,,,,,
,Standard 2,0.703,0.4,0.686858818,,,,,,,,,,
,Standard 1,0.8095,0.15,0.790913532,,,,,,,,,,
,Standard 0,1.0235,0,1,,,,,,,,,,
,Positive Control,0.5375,1.040548424,0.525158769,,,,,,,,,,
,PIB F,1.042,0.030485022,1.018075232,,,,,,,,,,
,PIB R,1.02,0.035558589,0.996580362,,,,,,,,,,
,LEU F,1.0295,0.033271625,1.005862237,,,,,,,,,,
,LEU R,1.013,0.037343716,0.989741085,,,,,,,,,,
,,,,,,,,,,,,,,
,KI R,1.069,0.025236754,1.0444553,,,,,,,,,,
,CP F,1,0.040900115,0.97703957,,,,,,,,,,
,CP R,1.07,0.025060775,1.04543234,,,,,,,,,,
,MH F,0.987,0.044795206,0.964338056,,,,,,,,,,
,MH R,1.048,0.029231595,1.023937469,,,,,,,,,,
,C5,0.8025,0.162902274,0.784074255,,,,,,,,,,
,C6,0.9255,0.068885859,0.904250122,,,,,,,,,,
,C7,1.043,0.030272446,1.019052272,,,,,,,,,,
,C8,1.096,0.020892022,1.070835369,,,,,,,,,,
,C9,0.936,0.064005983,0.914509038,,,,,,,,,,
,C10,1.0385,0.031240862,1.014655594,,,,,,,,,,
,C11,1.1255,0.016995344,1.099658036,,,,,,,,,,
,C12,0.972,0.049752688,0.949682462,,,,,,,,,,
,C13,0.882,0.09339564,0.861748901,,,,,,,,,,
,C14,0.8935,0.086174365,0.872984856,,,,,,,,,,
,C15,0.659,0.44465556,0.643869077,,,,,,,,,,
,C16,0.9955,0.042208511,0.972642892,,,,,,,,,,
,C17,0.6715,0.407414254,0.656082071,,,,,,,,,,
,C18,0.538,1.036914137,0.525647289,,,,,,,,,,
,C19,0.955,0.056037604,0.933072789,,,,,,,,,,
,C20,1.0295,0.033271625,1.005862237,,,,,,,,,,
,C21,0.89,0.088310958,0.869565217,,,,,,,,,,
,C22,1.1645,0.012936266,1.137762579,,,,,,,,,,
,C23,0.7305,0.269609497,0.713727406,,,,,,,,,,
,SL25,1.273,0.006054487,1.243771373,,,,,,,,,,
,SL27,1.064,0.026135361,1.039570103,,,,,,,,,,
,SL28,1.076,0.024030372,1.051294577,,,,,,,,,,
,SL31,1.0325,0.032580445,1.008793356,,,,,,,,,,
,SL35,1.071,0.024886023,1.04640938,,,,,,,,,,
,SL36,1.074,0.024369044,1.049340498,,,,,,,,,,
,Katie#1,1.186,0.011129366,1.15876893,,,,,,,,,,
,Katie#2,1.075,0.024199115,1.050317538,,,,,,,,,,
,Katie#3,1.1355,0.015846741,1.109428432,,,,,,,,,,
,Katie#10,1.074,0.024369044,1.049340498,,,,,,,,,,
,Katie#11,0.9755,0.048548973,0.953102101,,,,,,,,,,
,Katie#12,0.9755,0.048548973,0.953102101,,,,,,,,,,
