Software Version,2.01.14,,,,,
,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\KI finished July 21 and 22.xpt,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\Microcystin ELISA.prt,,,,,
Plate Number,Plate 2,,,,,
Date,7/22/14,,,,,
Time,7:55:24 PM,,,,,
Reader Type:,ELx800,,,,,
Reader Serial Number:,Unknown,,,,,
Reading Type,Reader,,,,,
,,,,,,
Procedure Details,,,,,,
Plate Type,96 WELL PLATE,,,,,
Read,Absorbance Endpoint,,,,,
,Full Plate,,,,,
,Wavelengths: 450,,,,,
,Read Speed: Normal,,,,,
,,,,,,
Results,,,,,,
,,,,,,
,,1,2,3,4,
,A,0.28,0.24,1.042,1.163,450
,B,0.34,0.345,1.118,1.175,450
,C,0.457,0.459,1.006,1.157,450
,D,0.661,0.698,1.092,1.187,450
,E,0.899,0.92,1.111,1.219,450
,F,1.118,1.026,1.086,1.153,450
,G,0.574,0.565,1.134,1.204,450
,H,1.157,1.077,1.086,1.136,450
,,,,,,
,,,,,,
,,ABS,conc,%B/Bo,,
,Standard 5,0.26,5,0.242537313,,
,Standard 4,0.3425,2,0.319496269,,
,Standard 3,0.458,1,0.427238806,,
,Standard 2,0.6795,0.4,0.63386194,,
,Standard 1,0.9095,0.15,0.848414179,,
,Standard 0,1.072,0,1,,
,Positive Control,0.5695,0.738232447,0.53125,,
,KI F July 21,1.157,0.037241922,1.079291045,,
,KI F July 21 x4,1.077,0.055932828,1.004664179,,
,KI R July 22,1.1245,0.043932906,1.048973881,,
,KI F July 22,1.1105,0.047173815,1.035914179,,
,KI F July 22 x2,1.165,0.035757621,1.086753731,,
,KI F July 22 x4,1.14425,0.039735917,1.067397388,,
,KI F July 22 x10,1.111,0.047054052,1.036380597,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
