Software Version,2.01.14,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\PWS Oct 20 and 21.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\Microcystin ELISA.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,10/21/14,,,,,,,,,,,,,
Time,11:35:06 AM,,,,,,,,,,,,,
Reader Type:,ELx800,,,,,,,,,,,,,
Reader Serial Number:,Unknown,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Wavelengths: 450,,,,,,,,,,,,,
,Read Speed: Normal,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.585,0.544,1.564,1.594,1.52,1.553,1.339,1.555,1.328,1.231,1.462,1.484,450
,B,0.696,0.75,1.859,1.815,1.456,1.485,1.436,1.483,1.439,1.459,1.611,1.33,450
,C,0.896,0.911,1.642,1.49,1.345,1.272,1.498,1.344,1.365,1.332, , ,450
,D,1.373,1.059,1.784,1.658,1.319,1.497,1.451,1.468,1.231,1.219, , ,450
,E,1.51,1.617,1.878,1.758,1.316,1.429,1.497,1.208,1.27,1.26, , ,450
,F,1.519,1.682,1.647,1.539,1.6,1.445,1.365,1.443,1.307,1.492, , ,450
,G,0.933,0.99,1.689,1.521,1.516,1.414,1.474,1.297,1.366,1.571, , ,450
,H,1.837,1.888,1.687,1.616,1.371,1.358,1.32,1.282,1.5,1.581, , ,450
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,ABS,conc,%B/Bo,Dilution Factor,Microcystin Concentration,,,,,,,,
,Standard 5,0.5645,5,0.352702281,1,5,,,,,,,,
,Standard 4,0.723,2,0.451733833,1,2,,,,,,,,
,Standard 3,0.9035,1,0.56451109,1,1,,,,,,,,
,Standard 2,1.216,0.4,0.759762574,1,0.4,,,,,,,,
,Standard 1,1.5635,0.15,0.976882224,1,0.15,,,,,,,,
,Standard 0,1.6005,0,1,1,0,,,,,,,,
,Positive Control,0.9615,1.008242273,0.600749766,1,1.008242273,,,,,,,,
,PIB F,1.8625,0.047935018,1.163698844,1,0.047935018,,,,,,,,
,PIB R,1.579,0.124999327,0.986566698,1,0.124999327,,,,,,,,
,LEU F,1.837,0.052250903,1.147766323,1,0.052250903,,,,,,,,
,LEU R,1.566,0.130615643,0.978444236,1,0.130615643,,,,,,,,
,MH F,1.721,0.077341612,1.075288972,1,0.077341612,,,,,,,,
,MH R,1.818,0.055717414,1.135895033,1,0.055717414,,,,,,,,
,KI F,1.593,0.119220759,0.995313964,1,0.119220759,,,,,,,,
,KI R,1.605,0.114480794,1.002811621,1,0.114480794,,,,,,,,
,VER F,1.6515,0.097826843,1.031865042,1,0.097826843,,,,,,,,
,VER R,1.5365,0.144314239,0.960012496,1,0.144314239,,,,,,,,
,BIM Int.,1.4705,0.180391079,0.918775383,1,0.180391079,,,,,,,,
,BIM 1,1.3085,0.311942773,0.817557013,1,0.311942773,,,,,,,,
,BIM 2,1.408,0.22283427,0.879725086,1,0.22283427,,,,,,,,
,BIM 3,1.3725,0.251249726,0.857544517,1,0.251249726,,,,,,,,
,BIM 4,1.5225,0.151309074,0.95126523,1,0.151309074,,,,,,,,
,BIM 5,1.465,0.183776741,0.915338957,1,0.183776741,,,,,,,,
,BIM 6,1.3645,0.258137894,0.852546079,1,0.258137894,,,,,,,,
,BIM 7,1.447,0.195307725,0.904092471,1,0.195307725,,,,,,,,
,BIM 8,1.4595,0.187225947,0.91190253,1,0.187225947,,,,,,,,
,BIM 9,1.421,0.213252663,0.887847548,1,0.213252663,,,,,,,,
,BIM 10,1.4595,0.187225947,0.91190253,1,0.187225947,,,,,,,,
,BIM 11,1.3525,0.268825841,0.845048422,1,0.268825841,,,,,,,,
,BIM 12,1.404,0.225868187,0.877225867,1,0.225868187,,,,,,,,
,BIM 13,1.3855,0.240446288,0.865666979,1,0.240446288,,,,,,,,
,BIM 14,1.301,0.31995357,0.812870978,1,0.31995357,,,,,,,,
,BIM 15,1.2795,0.344076318,0.799437676,1,0.344076318,,,,,,,,
,BIM 16,1.449,0.19399158,0.905342081,1,0.19399158,,,,,,,,
,BIM 17,1.3485,0.272485939,0.842549203,1,0.272485939,,,,,,,,
,BIM 18,1.225,0.413690495,0.765385817,1,0.413690495,,,,,,,,
,BIM 19,1.265,0.361363854,0.790378007,1,0.361363854,,,,,,,,
,BIM 20,1.3995,0.229330746,0.874414246,1,0.229330746,,,,,,,,
,BIM 21,1.4685,0.181614951,0.917525773,1,0.181614951,,,,,,,,
,BIM 22,1.5405,0.142375775,0.962511715,1,0.142375775,,,,,,,,
,BIM 23,1.473,0.178872831,0.920337395,1,0.178872831,,,,,,,,
,BIM 24,1.4705,0.180391079,0.918775383,1,0.180391079,,,,,,,,
