Software Version,2.01.14,,,,,,,
,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\PWS Sept 22 and 23.xpt,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\Microcystin ELISA.prt,,,,,,,
Plate Number,Plate 1,,,,,,,
Date,9/23/14,,,,,,,
Time,11:47:11 AM,,,,,,,
Reader Type:,ELx800,,,,,,,
Reader Serial Number:,Unknown,,,,,,,
Reading Type,Reader,,,,,,,
,,,,,,,,
Procedure Details,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,
Read,Absorbance Endpoint,,,,,,,
,Full Plate,,,,,,,
,Wavelengths: 450,,,,,,,
,Read Speed: Normal,,,,,,,
,,,,,,,,
Results,,,,,,,,
,,,,,,,,
,,1,2,3,4,5,6,
,A,0.373,0.435,1.211,1.086,0.756,0.906,450
,B,0.501,0.479,1.456,1.379,1.366,1.382,450
,C,0.695,0.664,0.867,0.731,0.995,0.981,450
,D,0.986,0.877,1.562,1.376,0.335,0.448,450
,E,1.079,1.078,0.85,0.824,0.557,0.569,450
,F,1.354,1.383,1.44,1.226,0.641,0.632,450
,G,0.583,0.819,1.512,1.421,0.4,0.452,450
,H,1.368,1.32,1.387,1.37,0.63,0.665,450
,,,,,,,,
,,,,,,,,
,,ABS,conc,%B/Bo,Dilution Factor,Microcystin Concentration,,
,Standard 5,0.404,5,0.295213738,1,5,,
,Standard 4,0.49,2,0.358056266,1,2,,
,Standard 3,0.6795,1,0.496529046,1,1,,
,Standard 2,0.9315,0.4,0.680672269,1,0.4,,
,Standard 1,1.0785,0.15,0.788089149,1,0.15,,
,Standard 0,1.3685,0,1,1,0,,
,Positive Control,0.701,1.126445107,0.512239678,1,1.126445107,,
,PIB F,1.344,0.046996383,0.982097187,1,0.046996383,,
,PIB R,1.1485,0.118062423,0.839240044,1,0.118062423,,
,LEU F,1.4175,0.033240154,1.035805627,1,0.033240154,,
,LEU R,0.799,0.612753348,0.583850932,1,0.612753348,,
,MH F,1.469,0.026078328,1.073438071,1,0.026078328,,
,MH R,0.837,0.512303292,0.61161856,1,0.512303292,,
,KI F,1.333,0.049496385,0.974059189,1,0.049496385,,
,KI R,1.4665,0.026387329,1.071611253,1,0.026387329,,
,CP F,1.3785,0.039945499,1.007307271,1,0.039945499,,
,CP R,0.831,0.526992958,0.607234198,1,0.526992958,,
,VER F ,1.374,0.040801498,1.004018999,1,0.040801498,,
,VER R,0.988,0.251500723,0.721958349,1,0.251500723,,
,CC064,0.3915,4.179687306,0.286079649,1,4.179687306,,
,CC065,0.563,1.862975714,0.411399342,1,1.862975714,,
,CC066,0.6365,1.317667377,0.465107782,1,1.317667377,,
,CC067,0.426,3.552607407,0.311289733,1,3.552607407,,
,CC068,0.6475,1.251113588,0.47314578,1,1.251113588,,
