"","y1","y2","y3","conc","ABS","smp","Tests"
"1","0.3369981","0.3521479","0.3444064","5.00","0.449","Standard 5","Jul22"
"2","0.4072658","0.4255744","0.4162189","2.00","0.492","Standard 4","Jul22"
"3","0.4760994","0.4975025","0.4865657","1.00","0.580","Standard 3","Jul22"
"4","0.6720841","0.7022977","0.6868588","0.40","0.793","Standard 2","Jul22"
"5","0.7739006","0.8086913","0.7909135","0.15","0.759","Standard 1","Jul22"
"6","0.9784895","1.0224775","1.0000000","0.00","1.046","Standard 0","Jul22"
"7","0.5138623","0.5369630","0.5251588",NA,"0.534","Positive Control","Jul22"
"8","0.9961759","1.0409590","1.0180752",NA,"1.069","PIB F","Jul22"
"9","0.3369981","0.3521479","0.3444064","5.00","0.256","Standard 5","Jul22"
"10","0.4072658","0.4255744","0.4162189","2.00","0.360","Standard 4","Jul22"
"11","0.4760994","0.4975025","0.4865657","1.00","0.416","Standard 3","Jul22"
"12","0.6720841","0.7022977","0.6868588","0.40","0.613","Standard 2","Jul22"
"13","0.7739006","0.8086913","0.7909135","0.15","0.860","Standard 1","Jul22"
"14","0.9784895","1.0224775","1.0000000","0.00","1.001","Standard 0","Jul22"
"15","0.5138623","0.5369630","0.5251588",NA,"0.541","Positive Control","Jul22"
"16","0.9961759","1.0409590","1.0180752",NA,"1.015","PIB F","Jul22"
"17","0.9751434","1.0189810","0.9965804",NA,"0.962","PIB R","Jul22"
"18","0.9842256","1.0284715","1.0058622",NA,"1.074","LEU F","Jul22"
"19","0.9684512","1.0119880","0.9897411",NA,"1.064","LEU R","Jul22"
"20","1.0219885","1.0679321","1.0444553",NA,NA,"KI R","Jul22"
"21","0.9560229","0.9990010","0.9770396",NA,"1.114","CP F","Jul22"
"22","1.0229446","1.0689311","1.0454323",NA,"1.011","CP R","Jul22"
"23","0.9435946","0.9860140","0.9643381",NA,"1.088","MH F","Jul22"
"24","1.0019120","1.0469530","1.0239375",NA,"0.985","MH R","Jul22"
"25","0.9751434","1.0189810","0.9965804",NA,"1.078","PIB R","Jul22"
"26","0.9842256","1.0284715","1.0058622",NA,"0.985","LEU F","Jul22"
"27","0.9684512","1.0119880","0.9897411",NA,"0.962","LEU R","Jul22"
"28","1.0219885","1.0679321","1.0444553",NA,NA,"KI R","Jul22"
"29","0.9560229","0.9990010","0.9770396",NA,"1.024","CP F","Jul22"
"30","1.0229446","1.0689311","1.0454323",NA,"0.989","CP R","Jul22"
"31","0.9435946","0.9860140","0.9643381",NA,"1.052","MH F","Jul22"
"32","1.0019120","1.0469530","1.0239375",NA,"0.989","MH R","Jul22"
"33","0.7672084","0.8016983","0.7840743",NA,"0.911","C5","Jul22"
"34","0.8847992","0.9245754","0.9042501",NA,"0.840","C6","Jul22"
"35","0.9971319","1.0419580","1.0190523",NA,"0.976","C7","Jul22"
"36","1.0478011","1.0949051","1.0708354",NA,"0.993","C8","Jul22"
"37","0.8948375","0.9350649","0.9145090",NA,"1.029","C9","Jul22"
"38","0.9928298","1.0374625","1.0146556",NA,"0.956","C10","Jul22"
"39","1.0760038","1.1243756","1.0996580",NA,"1.063","C11","Jul22"
"40","0.9292543","0.9710290","0.9496825",NA,"1.233","C12","Jul22"
"41","0.7672084","0.8016983","0.7840743",NA,"1.185","C5","Jul22"
"42","0.8847992","0.9245754","0.9042501",NA,"0.765","C6","Jul22"
"43","0.9971319","1.0419580","1.0190523",NA,"0.875","C7","Jul22"
"44","1.0478011","1.0949051","1.0708354",NA,"1.093","C8","Jul22"
"45","0.8948375","0.9350649","0.9145090",NA,"1.163","C9","Jul22"
"46","0.9928298","1.0374625","1.0146556",NA,"0.916","C10","Jul22"
"47","1.0760038","1.1243756","1.0996580",NA,"1.014","C11","Jul22"
"48","0.9292543","0.9710290","0.9496825",NA,"1.018","C12","Jul22"
"49","0.8432122","0.8811189","0.8617489",NA,"0.981","C13","Jul22"
"50","0.8542065","0.8926074","0.8729849",NA,"0.804","C14","Jul22"
"51","0.6300191","0.6583417","0.6438691",NA,"0.801","C15","Jul22"
"52","0.9517208","0.9945055","0.9726429",NA,"0.757","C16","Jul22"
"53","0.6419694","0.6708292","0.6560821",NA,"1.027","C17","Jul22"
"54","0.5143403","0.5374625","0.5256473",NA,"0.675","C18","Jul22"
"55","0.9130019","0.9540460","0.9330728",NA,"0.462","C19","Jul22"
"56","0.9842256","1.0284715","1.0058622",NA,"0.952","C20","Jul22"
"57","0.8432122","0.8811189","0.8617489",NA,"0.963","C13","Jul22"
"58","0.8542065","0.8926074","0.8729849",NA,"0.960","C14","Jul22"
"59","0.6300191","0.6583417","0.6438691",NA,"0.986","C15","Jul22"
"60","0.9517208","0.9945055","0.9726429",NA,"0.561","C16","Jul22"
"61","0.6419694","0.6708292","0.6560821",NA,"0.964","C17","Jul22"
"62","0.5143403","0.5374625","0.5256473",NA,"0.668","C18","Jul22"
"63","0.9130019","0.9540460","0.9330728",NA,"0.614","C19","Jul22"
"64","0.9842256","1.0284715","1.0058622",NA,"0.958","C20","Jul22"
