"","y1","y2","y3","conc","ABS","smp","Tests"
"1","0.3369981","0.3521479","0.3444064","5.00","0.449","Standard 5","Jul22"
"2","0.4072658","0.4255744","0.4162189","2.00","0.492","Standard 4","Jul22"
"3","0.4760994","0.4975025","0.4865657","1.00","0.580","Standard 3","Jul22"
"4","0.6720841","0.7022977","0.6868588","0.40","0.793","Standard 2","Jul22"
"5","0.7739006","0.8086913","0.7909135","0.15","0.759","Standard 1","Jul22"
"6","0.9784895","1.0224775","1.0000000","0.00","1.046","Standard 0","Jul22"
"7","0.2561419","0.2339983","0.2445699","5.00","0.269","Standard 5","Aug04"
"8","0.3921747","0.3582710","0.3744570","2.00","0.406","Standard 4","Aug04"
"9","0.4995450","0.4563591","0.4769765","1.00","0.515","Standard 3","Aug04"
"10","0.6519563","0.5955943","0.6225022","0.40","0.676","Standard 2","Aug04"
"11","0.8139217","0.7435578","0.7771503","0.15","0.843","Standard 1","Aug04"
"12","1.0473157","0.9567747","1.0000000","0.00","1.099","Standard 0","Aug04"
"13","0.2352941","0.2169059","0.2257261","5.00","0.406","Standard 5","Aug11"
"14","0.3682238","0.3394471","0.3532503","2.00","0.696","Standard 4","Aug11"
"15","0.4818339","0.4441786","0.4622407","1.00","0.865","Standard 3","Aug11"
"16","0.6138985","0.5659224","0.5889350","0.40","1.069","Standard 2","Aug11"
"17","0.8866782","0.8173844","0.8506224","0.15","1.460","Standard 1","Aug11"
"18","1.0423875","0.9609250","1.0000000","0.00","1.734","Standard 0","Aug11"
"19","0.2454640","0.2577572","0.2514604","5.00","0.474","Standard 5","Aug18"
"20","0.4144635","0.4352205","0.4245884","2.00","0.711","Standard 4","Aug18"
"21","0.4927424","0.5174197","0.5047796","1.00","0.954","Standard 3","Aug18"
"22","0.6308968","0.6624932","0.6463091","0.40","1.199","Standard 2","Aug18"
"23","0.8799896","0.9240610","0.9014870","0.15","1.657","Standard 1","Aug18"
"24","0.9761534","1.0250408","1.0000000","0.00","1.929","Standard 0","Aug18"
"25","0.2936615","0.3049720","0.2992099","5.00","0.440","Standard 5","Aug256"
"26","0.4140256","0.4299720","0.4218482","2.00","0.627","Standard 4","Aug256"
"27","0.5940661","0.6169468","0.6052903","1.00","0.947","Standard 3","Aug256"
"28","0.6793661","0.7055322","0.6922020","0.40","0.983","Standard 2","Aug256"
"29","0.8975051","0.9320728","0.9144624","0.15","1.319","Standard 1","Aug256"
"30","0.9814565","1.0192577","1.0000000","0.00","1.483","Standard 0","Aug256"
"31","0.2491694","0.2356021","0.2421959","5.00","0.260","Standard 5","Aug25"
"32","0.3444075","0.3256545","0.3347686","2.00","0.330","Standard 4","Aug25"
"33","0.5143965","0.4863874","0.5000000","1.00","0.450","Standard 3","Aug25"
"34","0.7297896","0.6900524","0.7093649","0.40","0.722","Standard 2","Aug25"
"35","0.8887043","0.8403141","0.8638321","0.15","0.786","Standard 1","Aug25"
"36","1.0287929","0.9727749","1.0000000","0.00","0.903","Standard 0","Aug25"
"37","0.2763611","0.2939883","0.2849023","5.00","0.379","Standard 5","Aug27"
"38","0.3790489","0.4032258","0.3907638","2.00","0.564","Standard 4","Aug27"
"39","0.5223983","0.5557185","0.5385435","1.00","0.776","Standard 3","Aug27"
"40","0.6678153","0.7104106","0.6884547","0.40","0.974","Standard 2","Aug27"
"41","0.8146106","0.8665689","0.8397869","0.15","1.192","Standard 1","Aug27"
"42","0.9700207","1.0318915","1.0000000","0.00","1.451","Standard 0","Aug27"
"43","0.2627893","0.2464306","0.2880027","5.00","0.433","Standard 5","Oct06"
"44","0.3666261","0.3438035","0.4018021","2.00","0.594","Standard 4","Oct06"
"45","0.5414129","0.5077099","0.5933589","1.00","0.925","Standard 3","Oct06"
"46","0.7707065","0.7227299","0.8446521","0.40","1.209","Standard 2","Oct06"
"47","0.9747259","0.9140491","1.0682463","0.15","1.541","Standard 1","Oct06"
"48","1.0331912","0.9688749","1.1323210","0.00","1.642","Standard 0","Oct06"
"49","0.2195035","0.2302827","0.2247640","5.00","0.289","Standard 5","Oct13"
"50","0.3046099","0.3195685","0.3119099","2.00","0.422","Standard 4","Oct13"
"51","0.4379433","0.4594494","0.4484386","1.00","0.588","Standard 3","Oct13"
"52","0.6053191","0.6350446","0.6198257","0.40","0.900","Standard 2","Oct13"
"53","0.7567376","0.7938988","0.7748729","0.15","1.120","Standard 1","Oct13"
"54","0.9765957","1.0245536","1.0000000","0.00","1.410","Standard 0","Oct13"
"55","0.3716261","0.3356124","0.3527023","5.00","0.585","Standard 5","Oct20"
"56","0.4759710","0.4298454","0.4517338","2.00","0.696","Standard 4","Oct20"
"57","0.5947992","0.5371581","0.5645111","1.00","0.896","Standard 3","Oct20"
"58","0.8005267","0.7229489","0.7597626","0.40","1.373","Standard 2","Oct20"
"59","1.0292956","0.9295482","0.9768822","0.15","1.510","Standard 1","Oct20"
"60","1.0536537","0.9515458","1.0000000","0.00","1.519","Standard 0","Oct20"
"61","0.3078556","0.3189150","0.3132877","5.00","0.416","Standard 5","Sep02"
