DATETIME,ABS_UNITS,CONC_UNITS,NAME,standard solutions,dilution factor,TrueC,CONCENTRATION ACTUAL,DF,ASSAY,REPLICATE,ABSORBANCE,ABS_MEAN,ABS_CV,CONCENTRATION,FLAG,CONC_MEAN,CONC_CV,INTERPRETATION
7/15/16 14:17,Abs,0,Std1,0,1,0,0,1,Microcystins ADDA OH,1,2.174,2.15,   ,0,   ,0.001,   ,   
7/15/16 14:17,Abs,ug/L,Std1,0,1,0,0,1,Microcystins ADDA OH,2,2.15,2.15,   ,0.001,   ,0.001,   ,   
7/15/16 14:17,Abs,ug/L,Std2,0.15,1,0.15,0.15,1,Microcystins ADDA OH,1,1.838,1.711,   ,0.107,   ,0.185,   ,   
7/15/16 14:17,Abs,ug/L,Std2,0.15,1,0.15,0.15,1,Microcystins ADDA OH,2,1.711,1.711,   ,0.185,   ,0.185,   ,   
7/15/16 14:17,Abs,ug/L,Std3,0.4,1,0.4,0.4,1,Microcystins ADDA OH,1,1.448,1.501,   ,0.434,   ,0.372,   ,   
7/15/16 14:17,Abs,ug/L,Std3,0.4,1,0.4,0.4,1,Microcystins ADDA OH,2,1.501,1.501,   ,0.372,   ,0.372,   ,   
7/15/16 14:17,Abs,ug/L,Std4,1,1,1,1,1,Microcystins ADDA OH,1,1.084,1.115,   ,1.133,   ,1.048,   ,   
7/15/16 14:17,Abs,ug/L,Std4,1,1,1,1,1,Microcystins ADDA OH,2,1.115,1.115,   ,1.048,   ,1.048,   ,   
7/15/16 14:17,Abs,ug/L,Std5,2,1,2,2,1,Microcystins ADDA OH,1,0.907,0.898,   ,1.781,   ,1.823,   ,   
7/15/16 14:17,Abs,ug/L,Std5,2,1,2,2,1,Microcystins ADDA OH,2,0.898,0.898,   ,1.823,   ,1.823,   ,   
7/15/16 14:17,Abs,ug/L,Std6,5,1,5,5,1,Microcystins ADDA OH,1,0.54,0.531,   ,5,   ,>,   ,   
7/15/16 14:17,Abs,ug/L,Std6,5,1,5,5,1,Microcystins ADDA OH,2,0.531,0.531,   ,5,   ,>,   ,   
7/15/16 14:17,Abs,ug/L,QCS (0.563 - 0.937),,1, , ,1,Microcystins ADDA OH,1,1.168,1.065,   ,0.915,   ,1.189,   ,   
7/15/16 14:17,Abs,ug/L,QCS (0.563 - 0.937),,1, , ,1,Microcystins ADDA OH,2,1.065,1.065,   ,1.189,   ,1.189,   ,   
7/15/16 14:17,Abs,ug/L,0.15  1:1.5,0.15,1.5,0.1,0.1,1,Microcystins ADDA OH,1,1.863,1.803,4.7,0.094,   ,0.126,38,Low
7/15/16 14:17,Abs,ug/L,0.15  1:1.5,0.15,1.5,0.1,0.1,1,Microcystins ADDA OH,2,1.743,1.803,4.7,0.163,   ,0.126,38,Low
